HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Answer.choice,Approve,Reject
33NOQL7T9P7UTZSZCNJ0FR3W6O7Z8L,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3Z7VU45IP0PF5I6834FNP0BCQSA1ZA,A119A8DHXU2PP7,Approved,Tue Aug 14 18:48:11 PDT 2018,Tue Aug 14 18:48:25 PDT 2018,Fri Aug 17 18:48:25 PDT 2018,Tue Aug 14 19:40:38 PDT 2018,,,14,100% (6/6),100% (6/6),100% (6/6),livef3xCx:live9OxXe.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,30IQTZXKAMEQTYLB63N2EACRD05X05,A23MOF1WG1Z6KB,Approved,Tue Aug 14 18:48:19 PDT 2018,Tue Aug 14 18:48:24 PDT 2018,Fri Aug 17 18:48:24 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,5,100% (7/7),100% (7/7),100% (7/7),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,33SA9F9TRZ2AVOVF45QVXG0OYZ9WEX,ATIGCUKIPNWG0,Approved,Tue Aug 14 18:47:53 PDT 2018,Tue Aug 14 18:48:00 PDT 2018,Fri Aug 17 18:48:00 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,7,100% (12/12),100% (12/12),100% (12/12),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3DPNQGW4LNNU97JGOH1EQ0PKX8N641,A1X9OTML2CUQBD,Approved,Tue Aug 14 18:47:57 PDT 2018,Tue Aug 14 18:48:01 PDT 2018,Fri Aug 17 18:48:01 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,4,100% (19/19),100% (19/19),100% (19/19),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3DR23U6WE7MI37RL90LKAWTPU5RTE4,A1P8K83P1987GB,Approved,Tue Aug 14 18:46:35 PDT 2018,Tue Aug 14 18:46:38 PDT 2018,Fri Aug 17 18:46:38 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,3,100% (33/33),100% (33/33),100% (33/33),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3DR23U6WE7MI37RL90LKAWTPU5SETQ,A3FZXJCTN0NZWJ,Approved,Tue Aug 14 18:48:36 PDT 2018,Tue Aug 14 18:48:40 PDT 2018,Fri Aug 17 18:48:40 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,4,100% (17/17),100% (17/17),100% (17/17),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3OSWBBLG1G5KSIM5IFBXTHWA7PFDXF,A2JFK6KAWDU0KA,Approved,Tue Aug 14 18:47:41 PDT 2018,Tue Aug 14 18:51:53 PDT 2018,Fri Aug 17 18:51:53 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,252,100% (34/34),100% (34/34),100% (34/34),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3TR2532VIR2KCP21ROOIW2E3F5D6JS,A3H1T1L00N0LO8,Approved,Tue Aug 14 18:48:24 PDT 2018,Tue Aug 14 18:48:31 PDT 2018,Fri Aug 17 18:48:31 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,7,100% (4/4),100% (4/4),100% (4/4),liveljo8R:livevgXNH.png,optionA,,
33QQ60S6ATQVPBTMBW7D5KIZL8H0UB,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3U5JL4WY5MH7SM3CP4A4QD24UCLX4L,A2J62BRLYSAI7R,Approved,Tue Aug 14 18:48:24 PDT 2018,Tue Aug 14 18:48:27 PDT 2018,Fri Aug 17 18:48:27 PDT 2018,Tue Aug 14 19:40:21 PDT 2018,,,3,100% (31/31),100% (31/31),100% (31/31),liveljo8R:livevgXNH.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,34HJIJKLP74FOXYHPP9M2S5JE1E4VQ,A1UDYGZ37Q9V0K,Approved,Tue Aug 14 18:47:51 PDT 2018,Tue Aug 14 18:47:55 PDT 2018,Fri Aug 17 18:47:55 PDT 2018,Tue Aug 14 19:40:32 PDT 2018,,,4,100% (21/21),100% (21/21),100% (21/21),liveoUMSN:liveQkFdl.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,35GMH2SV3GP2QFMDDJZLGMN2VXAOED,A3UUH3632AI3ZX,Approved,Tue Aug 14 18:46:26 PDT 2018,Tue Aug 14 18:46:40 PDT 2018,Fri Aug 17 18:46:40 PDT 2018,Tue Aug 14 19:40:32 PDT 2018,,,14,100% (41/41),100% (41/41),100% (41/41),liveoUMSN:liveQkFdl.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,37TRT2X24SZQI1JWNF5Q7I0VT6NJBP,A2J62BRLYSAI7R,Approved,Tue Aug 14 18:47:24 PDT 2018,Tue Aug 14 18:47:27 PDT 2018,Fri Aug 17 18:47:27 PDT 2018,Tue Aug 14 19:40:32 PDT 2018,,,3,100% (31/31),100% (31/31),100% (31/31),liveoUMSN:liveQkFdl.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3AAJC4I4FI0M0ZMCTTLTT07YK99ZJB,A2MPEH2IT5MWKW,Approved,Tue Aug 14 18:47:52 PDT 2018,Tue Aug 14 18:48:11 PDT 2018,Fri Aug 17 18:48:11 PDT 2018,Tue Aug 14 19:40:32 PDT 2018,,,19,100% (6/6),100% (6/6),100% (6/6),liveoUMSN:liveQkFdl.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3JJVG1YBED5IB24BYD1W68HQB5T5BQ,A1P8K83P1987GB,Approved,Tue Aug 14 18:48:15 PDT 2018,Tue Aug 14 18:48:18 PDT 2018,Fri Aug 17 18:48:18 PDT 2018,Tue Aug 14 19:40:32 PDT 2018,,,3,100% (33/33),100% (33/33),100% (33/33),liveoUMSN:liveQkFdl.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3Z4XG4ZF4AZ8BNQE170H7PI9WYHX8S,A1YPOIURXB6ESR,Approved,Tue Aug 14 18:48:27 PDT 2018,Tue Aug 14 18:48:31 PDT 2018,Fri Aug 17 18:48:31 PDT 2018,Tue Aug 14 19:40:32 PDT 2018,,,4,100% (15/15),100% (15/15),100% (15/15),liveoUMSN:liveQkFdl.png,optionA,,
34D9ZRXCYS2BBBZ0ET96FPCO9X8ASW,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3ZAZR5XV03QZSLG6J1476WU3UP0ZCX,ATV47Z6T02GHA,Approved,Tue Aug 14 18:47:45 PDT 2018,Tue Aug 14 18:47:49 PDT 2018,Fri Aug 17 18:47:49 PDT 2018,Tue Aug 14 19:40:33 PDT 2018,,,4,100% (25/25),100% (25/25),100% (25/25),liveoUMSN:liveQkFdl.png,optionA,,
34HEO7RUG72ZAWZNZ491PF7SNVPAR8,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3M81GAB8A2R74ON9I5PZ4JCH71GBQ9,A2JFK6KAWDU0KA,Approved,Tue Aug 14 18:48:21 PDT 2018,Tue Aug 14 18:48:29 PDT 2018,Fri Aug 17 18:48:29 PDT 2018,Tue Aug 14 19:40:19 PDT 2018,,,8,100% (34/34),100% (34/34),100% (34/34),livesacqn:liveKVY8k.png,optionA,,
34HEO7RUG72ZAWZNZ491PF7SNVPAR8,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3PH3VY7DJN586JMB0S48IQ16M5IZW6,ATIGCUKIPNWG0,Approved,Tue Aug 14 18:48:15 PDT 2018,Tue Aug 14 18:48:24 PDT 2018,Fri Aug 17 18:48:24 PDT 2018,Tue Aug 14 19:40:20 PDT 2018,,,9,100% (12/12),100% (12/12),100% (12/12),livesacqn:liveKVY8k.png,optionA,,
34HEO7RUG72ZAWZNZ491PF7SNVPAR8,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,3R6P78PK7MJGNLNCFVB8AZE17L7GT9,A119A8DHXU2PP7,Approved,Tue Aug 14 18:48:21 PDT 2018,Tue Aug 14 18:49:00 PDT 2018,Fri Aug 17 18:49:00 PDT 2018,Tue Aug 14 19:40:20 PDT 2018,,,39,100% (6/6),100% (6/6),100% (6/6),livesacqn:liveKVY8k.png,optionA,,
34R3P23QHT9JSFON44TZT02DS5TWH7,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,30BUDKLTXF3GI5GV843M7GNBE26E5Z,ATV47Z6T02GHA,Approved,Tue Aug 14 18:47:53 PDT 2018,Tue Aug 14 18:47:57 PDT 2018,Fri Aug 17 18:47:57 PDT 2018,Tue Aug 14 19:40:27 PDT 2018,,,4,100% (25/25),100% (25/25),100% (25/25),liveBiXqb:liveVVVl7.png,optionA,,
34R3P23QHT9JSFON44TZT02DS5TWH7,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,31LVTDXBL9IJTYOLMX3TNCIRFHVRLC,A2JFK6KAWDU0KA,Approved,Tue Aug 14 18:47:33 PDT 2018,Tue Aug 14 18:51:07 PDT 2018,Fri Aug 17 18:51:07 PDT 2018,Tue Aug 14 19:40:27 PDT 2018,,,214,100% (34/34),100% (34/34),100% (34/34),liveBiXqb:liveVVVl7.png,optionA,,
34R3P23QHT9JSFON44TZT02DS5TWH7,3LI79ZAG3MJRY7LMOP4ZAHBFPOOO2G,Choose between image A or B,Choose between image A or B based on the criteria mentioned,"image, comparison, choose, abtest",$0.01,Tue Aug 14 18:45:41 PDT 2018,10,BatchId:3340125;OriginalHitTemplateId:926158629;,3600,259200,Tue Aug 21 18:45:41 PDT 2018,,,34PGFRQONQJI64H7I61MUWDG375WJI,A3DIUIYXBJIKQN,Approved,Tue Aug 14 18:48:01 PDT 2018,Tue Aug 14 18:48:06 PDT 2018,Fri Aug 17 18:48:06 PDT 2018,Tue Aug 14 19:40:27 PDT 2018,,,5,100% (22/22),100% (22/22),100% (22/22),liveBiXqb:liveVVVl7.png,optionA,,
